Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PONTE ALTA,64019980,73851310,75788910,77993570,107711200,93544470,104401800,109887900,114165200,130943000,146048000
PONTE ALTA DO NORTE,74258700,78833360,87405410,95619900,81083470,74608880,79705740,110203600,115306000,114123000,138328000
PONTE SERRADA,154028400,176063900,203200200,245046300,210409500,206329300,218210600,225477700,226904700,226671000,249948000
PORTO BELO,567926000,604122400,666258200,735349800,831065300,878271800,884185500,945196000,1177910000,1262672000,1334187000
PORTO UNIÃO,381850600,428640000,478946800,507225100,575418300,574460700,611652400,703089800,755314100,778430000,913881000
POUSO REDONDO,235415000,258642900,291830900,404286500,483464600,435330700,490796100,520724300,483992200,552798000,643935000
PRAIA GRANDE,87287440,85439550,146742400,114635200,128769500,129246100,140105600,155813600,160285800,169487000,190251000
PRESIDENTE CASTELLO BRANCO,27283150,28889630,29260620,36484630,42485650,43463330,47984320,45854850,45954360,54908000,70785000
PRESIDENTE GETÚLIO,294793400,290084400,358208500,357778400,493962100,491715000,512337400,625811100,712052200,721514000,774707000
PRESIDENTE NEREU,32089340,31336700,36299990,42621000,45065830,44773600,53222240,55113190,52784350,51275000,57694000
PRINCESA,26722400,30618960,34906730,53005420,57682200,52504030,66161960,66929040,71458820,74087000,105012000
QUILOMBO,366185200,493518800,530080300,454933500,331593400,338345900,356785400,347609400,352659400,364898000,406964000
RANCHO QUEIMADO,63321100,68498910,60445180,91739930,92018360,102234600,107406800,102976300,117584500,137068000,145895000
RIO DAS ANTAS,95049950,98488350,99622640,123850000,149216700,145211100,173948500,176863800,191048000,218674000,255999000
RIO DO CAMPO,95858850,96970090,108343900,129977500,138500700,137502800,145613800,162919900,148568800,160482000,184121000
RIO DO OESTE,118700200,111281000,132319800,156434500,173004100,166332000,196289600,194684900,185465300,207600000,236317000
RIO DO SUL,1548685000,1787319000,1949443000,2076656000,2502192000,2305880000,2269859000,2572166000,2719646000,2894102000,3115478000
RIO DOS CEDROS,176187100,228944200,243541700,219963100,251337200,258773000,276834300,310345700,331819900,337173000,389944000
RIO FORTUNA,72256300,86172280,91755270,212814900,236880500,229424100,230649900,237809200,238298000,244949000,227717000
RIO NEGRINHO,653645800,735430100,795632000,869022500,971603000,986804200,997977600,1092653000,1158012000,1232353000,1388843000
RIO RUFINO,27392220,30788900,34194420,39431930,37585540,41445300,50193960,50133410,48524940,59284000,67621000
RIQUEZA,47390250,53773460,57254920,69196550,87296860,84656050,91140230,99924650,113274100,125266000,127591000
RODEIO,158760700,174914100,246585500,232646700,284532200,248128000,259406800,273991100,285412900,305814000,324949000
ROMELÂNDIA,81548190,101304900,111605300,119907200,78405790,72056540,80286060,82298450,84613460,89444000,105862000
SALETE,97466510,110160800,114483400,131622300,166657900,160171900,165733300,180699000,197595800,217401000,290851000
SALTINHO,45179230,41564630,90153510,60303520,55490570,58471270,67081990,71691080,70321890,70206000,80393000
SALTO VELOSO,97550970,187128900,107317900,112113800,163560100,186638100,177396800,171636200,171645900,201505000,239199000
SANGÃO,161084400,180337500,240565200,223246100,233719100,249050300,249404000,280614600,319406600,334671000,362559000
SANTA CECÍLIA,240264600,236905800,274449400,307268500,351765900,362796400,375231500,419310400,470773300,481577000,545063000
SANTA HELENA,31905690,38058510,38871120,47867870,56747940,53881450,65998550,64421230,70074610,75557000,92098000
SANTA ROSA DE LIMA,31270380,34910060,32538570,39067950,44702490,48547250,47267870,48274020,50667770,57497000,64953000
SANTA ROSA DO SUL,79754730,70875780,82305880,106114000,113629900,112838000,129200900,138941500,132838000,152035000,152707000
SANTA TEREZINHA,120713000,123193200,142896700,164156900,179002200,162945400,188062100,192739600,181327900,193936000,192847000
SANTA TEREZINHA DO PROGRESSO,29677380,32269370,29326530,37491780,40080470,41400680,46817700,49384190,52365040,52317000,58261000
SANTIAGO DO SUL,27220850,29556300,28921920,40773740,27791890,29932020,32110940,32320850,33849480,35092000,38537000
SANTO AMARO DA IMPERATRIZ,427862700,476204200,498947200,587584900,643747600,656335700,745982700,753918700,848974200,926587000,1032573000
SÃO BENTO DO SUL,1889164000,2265017000,2496922000,2690098000,3129774000,2828572000,2652536000,2994813000,3198188000,3323764000,3644559000
SÃO BERNARDINO,67575860,44868330,94767740,53266010,48999590,49929060,58747470,57874680,63725680,64038000,78394000
SÃO BONIFÁCIO,35464200,34906100,38539050,46080930,50858970,50098530,55551720,61837120,71441340,73682000,81195000
SÃO CARLOS,196063700,224192200,228822400,283377200,265725000,268754100,294553400,340075200,424613800,431403000,439744000
SÃO CRISTOVÃO DO SUL,71357650,75770610,79620090,107766900,112661600,115524100,120723700,147729000,158741400,159871000,161077000
SÃO DOMINGOS,183389500,227783900,235305200,290966400,247676000,280101400,326513100,309647800,327326300,310516000,338958000
SÃO FRANCISCO DO SUL,2107730000,2656569000,2892368000,3279382000,3566016000,3673351000,3589664000,3996444000,4142714000,4237319000,4758498000
SÃO JOÃO BATISTA,477647700,467623000,479604500,550950400,690230100,688817100,753071100,860361200,898813600,922115000,882425000
SÃO JOÃO DO ITAPERIÚ,59225450,59767910,58595400,79394490,131208300,136165300,148741300,169132400,170373600,206272000,241954000
SÃO JOÃO DO OESTE,104737500,107303800,116730500,151127800,180311500,176409300,203104800,213293800,221149500,273811000,316607000
SÃO JOÃO DO SUL,83266530,76706300,88204700,107977000,129394300,137587600,158620000,188923900,192692600,204292000,238741000
SÃO JOAQUIM,390207300,392015200,416983400,500244700,672560900,669566600,880562700,858627100,747203500,894980000,917828000
