Município,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BRAÇO DO TROMBUDO,1204486.03,1759127.01,2066169.04,2203091.4,2386919.61,2497411.74,2628528.34,2802573.86,2343566.12,2562994.97,2629697.15,2759019.84,3109271.01
BRUNÓPOLIS,53257.21,72561.58,69670.71,73697.8,96315.48,176697.58,131908,156435.65,321210.54,348729.2,398375.64,440391.71,582061.43
BRUSQUE,46769088.94,55037885.39,60769186.01,68888759.91,77366341.21,86764172.68,89153389.73,91641999.56,100046515.59,106810390.12,106751610.28,111967539.32,134336057.04
CAÇADOR,19385501.99,22406178.58,25009846.39,28828083.04,34286619.58,37761515,40322372.27,43611334.38,44649031.49,48019038.01,49265975.99,54089812.13,62914862.09
CAIBI,582392.37,855644.05,965897.91,1131732.89,1325908.75,1600483.31,1643830.11,1745424.19,1800019.03,2021018.68,2194379.83,2621038.62,3065794.37
CALMON,185098.09,292604.08,296365.26,309111.07,402249.87,415903.77,438290.94,439434.23,456118.14,482480.38,600162.67,742609.99,843441.93
CAMBORIÚ,4926973.77,6655455.8,7874880,9527382.12,12269037.46,12604922.02,13445047.9,13864971.04,14772993.56,18190207.47,17871245.45,17896170.82,23589316.16
CAMPO ALEGRE,1976320.13,2281833.35,2975207.76,4282237.84,5528254.25,6433606.59,6550966.02,6757693.09,8038629.51,9257590.66,9927291.53,10535204.15,12184187.19
CAMPO BELO DO SUL,700571.27,728057.02,809586.24,805337.28,1088450.94,1262854.22,1419305.54,1451905.7,1620202.82,1784005.13,1597242.5,1574161.51,2090997.9
CAMPO ERÊ,618154,794617.78,884308.7,1067585.08,1218193.66,1471059.87,1716450.68,1797682.8,2194113.37,2402404.53,2547794.51,2827360.18,3362220.49
CAMPOS NOVOS,5385513.14,6692273.1,8397534.34,10112405.1,12162228.59,13723211.8,16458792.05,17187512.22,17395576.89,18125743.27,20036807.13,21205469.52,24584915.71
CANELINHA,1812115.89,2130013.45,2378891.69,2587079.52,2967434.6,3103489.32,3302073.58,3110861.87,3388827.73,3413931.29,3773247.01,3858065.52,5174274.58
CANOINHAS,7389201.02,8562701.92,9536217.37,10981038.03,12662332.68,14983425.1,15429022.11,16273015.96,17302247.88,18108103.98,19049054.52,21193324.88,24447062.18
CAPÃO ALTO,243209.23,269724.06,332111.16,375974.28,399978.27,480614.08,507681.63,657258.93,619940.78,718336.76,591856.05,754317.87,906168.33
CAPINZAL,8175612.49,8603861.04,10245736.76,10469499.22,11381812.28,11959104.78,13873292.36,14722983.56,16203748.73,16272338.17,18455376.17,19025907.24,21696745.45
CAPIVARI DE BAIXO,4462956.79,4689312.63,5559380.42,6518911.32,7386582.93,7730027.35,7941238.61,6670985.49,7266207.86,8080032.9,8433393.47,9396094.84,10748589.48
CATANDUVAS,1518690.48,2239565.41,2249845,2932411.21,3348443.24,3726962.52,3945104.89,4467079.41,5084747.04,4900439.16,5803388.11,5821909.72,7002281.66
CAXAMBU DO SUL,111882.72,190262.59,237597.11,313615.23,348335.86,386701.86,425772.63,462839.03,523509.64,659387.6,725758.54,870859.04,1110228.18
CELSO RAMOS,68213.61,102432.45,117421.19,168797.11,241093.47,258161.68,283629.36,305713.88,333358.08,311225.22,293464.6,349134.6,430734.77
CERRO NEGRO,43641.45,60083.18,53804.41,71191.92,100872.26,88006.28,112457.17,173653,159830.75,165639.73,180531.74,140636.06,202442.65
CHAPADÃO DO LAGEADO,23975.63,63917.64,44520.46,46328.01,61979.65,63538.97,75009.55,92852.15,110764.6,104491.04,118047,157973.91,219070.63
CHAPECÓ,52708040.35,65192768.17,78046075.03,82178178,104558053.03,121115620.56,128890121.89,136721270.25,150868863.13,158050953.71,177599547.16,189946149.57,226490917.2
COCAL DO SUL,5654678.14,6443905.58,7390482.27,7737146.08,8406734.95,9514625.84,10623038.29,11173956.36,11333055.39,11820438.69,12828927.29,13236318.14,15358466.51
CONCÓRDIA,18878829.61,23679099.28,27057454.52,22795103.23,36418808.66,41319472.6,43691030.36,45329087.65,49680345.74,51631941.46,57561446.69,58188312.33,67100618.51
CORDILHEIRA ALTA,1219590.91,1463083.13,1811936.19,1988464.75,2322869.09,2310729.7,3018727.45,3063173.7,3438660.42,3689027.77,3781742.7,4557890.17,5266685.75
CORONEL FREITAS,1062176.89,1271264.17,1573340.99,1848092.52,2057906.22,2355628.04,2407229.56,2695070.98,2865098.75,3148662.33,3345926.26,3549410.66,3995105.96
CORONEL MARTINS,64967.48,77433.59,82125.93,92089.37,151976.48,148359.71,156740.22,168507.26,150265.69,131862.08,141363.69,167054.37,202319.88
CORREIA PINTO,3003425.79,3440748.97,4049333.67,4847581.05,5007970.43,5355648.37,5239160.35,5479798.59,5619977.33,6038217.66,6066791.66,5914418.24,6503718.85
CORUPÁ,4081685.18,4980128.47,5254747.95,6029309.42,6623363.69,7142122.26,7468610.63,7597151.98,8233090.13,8707116.65,9523000.49,9876266.34,12156792.58
CRICIÚMA,49027557.62,59771035.22,69642705.66,79595766.06,92217623.98,101059608.69,108364794.17,114060580.35,120520157.42,127231115.33,131284747.19,133795300.2,161364049.92
CUNHA PORÃ,1288900.1,1574811.28,1835735.55,2361786.55,3137879.77,3475808.37,3956796.38,4736014.87,4545255,4946129.08,5136193.17,5832228.21,7214442.37
CUNHATAÍ,64938.39,80369.74,99090.81,101765.72,124012.64,160921.2,204191.12,230915.04,271418.57,273641.38,293891.33,319466.73,408167.52
CURITIBANOS,4956356.16,5883833.87,7549636.84,8301385.4,10010329.62,11368115.3,12347257.52,13716591.78,14407395.2,14637998.23,15089815.59,15611544.06,18372987.12
DESCANSO,472365.12,542243.51,677967.3,837849.15,959723.47,1079494.11,1153022.41,1223870.07,1272944,1343246.83,1476947.57,1511750.57,1705056.46
DIONÍSIO CERQUEIRA,585865.7,778138.3,935660.84,1158244.45,1426136.65,1574042.53,1759225.63,2086344.1,2092354.55,2332769.8,2516756.29,2614192.36,3361457.03
DONA EMMA,454470.35,620907.69,760830.64,995138.08,1176646.92,1323836.61,1302065.85,1367803.68,1505686.63,1612380.61,1638906.84,1772536.29,2344563.14
DOUTOR PEDRINHO,585930.09,719712.25,780014.1,931341.52,1197713.46,1414655.82,1448218.5,1629135.04,1692615.83,1632127.19,1626758.86,1667382,1926579.49
ENTRE RIOS,34175.17,42040.13,48566.47,74033.3,96088.85,93539.28,96396.12,118850.77,104251.59,98152.32,105646.31,86712.9,132193.75
ERMO,89378.31,101401.06,154177.78,175775.65,249420.24,315247.12,375996.24,416144.45,419913.35,676230.2,1109316.02,1221226.6,1787033.54
ERVAL VELHO,454320.05,440281.06,518551.29,639406.65,658511.25,819868.64,927854.26,946042.5,1011113.54,993607.25,1096362.08,1221770,1378373.29
FAXINAL DOS GUEDES,2827470.94,3324573.91,3896158.93,3083005.2,4875247.02,5260048.99,5579305.6,5629570.59,6306601.41,6445943.61,7117326.25,7470963.14,8309933.19
FLOR DO SERTÃO,29935.2,32846.67,103099.25,90003.48,153416.36,168474.26,177300.29,237921.92,225293.2,285537.31,335145.33,391107.79,579263.58
FLORIANÓPOLIS,137372765.54,160672091.19,192122943.22,223064560.1,252472836.63,286663970.85,302557962.87,319357032.08,332883080.38,364184007.77,374090011.58,357048764.01,440796674.88
FORMOSA DO SUL,67479.28,87865.85,118401.38,148937.01,196058.81,203741.96,221721.33,242933.92,223513.78,291100.49,266232.05,310136.38,367969.87
FORQUILHINHA,6677685.59,7912619.03,8588536.72,10269094.32,11014579.95,12305443.21,11957134.75,13108618.3,13588387.02,13481180.02,14659136.75,15727277.2,18780796.59
FRAIBURGO,7897859.16,8587322.57,9165394.75,10142304.87,11108496.83,12962167.47,13047276.62,13688021.45,14464109.96,14665007.18,15529356,15401424.02,18018843.16
