,Município,1991,2000,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,ARAPOTI,27170.0,27362.0,27547.0,27728.0,27906.0,27925.0,28115.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26007.0,26153.0,-1.0
38,ARAPUÃ,3513.0,3469.0,3426.0,3384.0,3343.0,3128.0,3068.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3515.0,3469.0,-1.0
39,ARAQUARI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25860.0,26875.0,29593.0,31030.0,32454.0,33867.0,35268.0,36710.0,38129.0,39524.0,40890.0
40,ARARANGUÁ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61817.0,62308.0,64405.0,65090.0,65769.0,66442.0,67110.0,67578.0,68228.0,68867.0,69493.0
41,ARARUNA,13926.0,13971.0,14014.0,14056.0,14098.0,13939.0,13970.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13445.0,13471.0,-1.0
42,ARAUCÁRIA,129209.0,131356.0,133428.0,135459.0,137452.0,141410.0,143843.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,121032.0,122878.0,-1.0
43,ARIRANHA DO IVAÍ,2421.0,2389.0,2359.0,2330.0,2301.0,2151.0,2108.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2420.0,2389.0,-1.0
44,ARMAZÉM,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7821.0,7886.0,8159.0,8251.0,8341.0,8431.0,8520.0,8587.0,8674.0,8759.0,8843.0
45,ARROIO TRINTA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3503.0,3504.0,3562.0,3563.0,3563.0,3564.0,3564.0,3551.0,3550.0,3549.0,3547.0
46,ARVOREDO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2257.0,2254.0,2281.0,2276.0,2271.0,2266.0,2261.0,2246.0,2240.0,2234.0,2228.0
47,ASCURRA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7449.0,7485.0,7683.0,7732.0,7781.0,7829.0,7877.0,7889.0,7934.0,7978.0,8021.0
48,ASSAÍ,16436.0,16322.0,16212.0,16104.0,15999.0,15289.0,15119.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16225.0,16099.0,-1.0
