municipios,quantidade_ucs,area_coberta,populacao_2010,populacao_2011,populacao_2012,populacao_2013,populacao_2014,populacao_2015,populacao_2016,populacao_2017,populacao_2018,populacao_2019,populacao_2020,massa_salarial_2010,massa_salarial_2011,massa_salarial_2012,massa_salarial_2013,massa_salarial_2014,massa_salarial_2015,massa_salarial_2016,massa_salarial_2017,massa_salarial_2018,massa_salarial_2019,massa_salarial_2020,pib_municipio_2010,pib_municipio_2011,pib_municipio_2012,pib_municipio_2013,pib_municipio_2014,pib_municipio_2015,pib_municipio_2016,pib_municipio_2017,pib_municipio_2018,pib_municipio_2019,pib_municipio_2020,empregados_2010,empregados_2011,empregados_2012,empregados_2013,empregados_2014,empregados_2015,empregados_2016,empregados_2017,empregados_2018,empregados_2019,empregados_2020,estabelecimentos
BALNEÁRIO ARROIO DO SILVA,1,14,9858,9858,10121,10876,11248,11616,11982,12344,12705,13071,13430,524584.72,509171.24,590383.06,868070.89,947674.17,947251.44,1094061.7,1184914.73,1137506.86,1147208.28,1012080.6,83341150,104960100,112702000,109757000,125115400,130894600,142875800,158894300,171555600,179680000,195738000,618,555,614,769,764,673,709,718,696,683,652,4959
BALNEÁRIO BARRA DO SUL,0,0,8614,8614,8791,9330,9580,9828,10073,10317,10550,10795,11035,660570.96,769098.96,1014728.99,1173485.7,1278452.51,1449467.41,1445133.1,1593437.6,1508185.95,1505939.73,1552159.17,96881750,107906900,125050200,130436700,151355200,163615800,176327300,188053300,185960700,202180000,216071000,698,688,861,850,880,892,847,873,754,765,781,1821
BALNEÁRIO CAMBORIÚ,3,23,110748,110748,113319,120926,124557,128155,131727,135268,138732,142295,145796,33571741.85,40155892.97,48462283.07,55853393.17,66875808.15,72064233.75,75404336.68,80919358.41,89399847.64,92408526,85814050.43,2735408000,3046187000,3347853000,3954013000,4464558000,4812598000,4931619000,5149750000,5549599000,6051067000,6212892000,31873,33773,35629,36358,38217,37843,37265,38187,39723,41398,39454,228
BALNEÁRIO GAIVOTA,0,0,8448,8448,8655,9259,9551,9841,10128,10413,10692,10979,11260,388809.61,446478.97,527774.99,667600.34,798655.74,945571.22,953161.81,1013994.85,1146445.49,1280975.17,1176351.53,68223220,75404200,82505570,97091820,112124000,124580000,128503800,140778300,152250200,166797000,182757000,496,515,567,633,666,700,695,682,733,829,775,118
BALNEÁRIO PIÇARRAS,1,74,17552,17552,18010,19329,19976,20617,21253,21884,22511,23147,23772,3297044.14,3782148.63,4807513.05,5739981.13,6693856.28,6880234.25,6626770.65,7226085.15,7155313,9485914.04,9574714.36,282332300,359192100,322065800,449503500,511935600,511354100,594627400,841169200,939638400,1109527000,1222086000,2797,2853,3232,3424,3749,3648,3353,3457,3347,3894,3839,7159
BALNEÁRIO RINCÃO,0,0,11136,11136,11136,11628,11824,12018,12212,12403,12570,12760,12946,293629.5,293629.5,293629.5,293629.5,547691.13,1066439.44,2572738.88,2836174.06,1832017.21,1892220.4,2175920.64,129061300,129061300,129061300,129061300,152996100,164469000,217335200,212953200,225341500,242539000,270465000,237,237,237,237,430,710,1245,1347,1101,1132,1259,288
BANDEIRANTE,1,17,2886,2886,2866,2865,2836,2808,2779,2751,2708,2678,2648,27459.36,54551.7,57979.82,55821.34,210796.89,238506.72,258655.96,418929.14,378358.81,445050.44,587755.26,27557810,32290280,32441790,41768100,47095570,57170130,62748030,62541770,61176810,79441000,106897000,42,61,66,58,195,186,183,206,196,223,300,225
BARRA BONITA,0,0,1860,1860,1853,1842,1815,1790,1764,1739,1704,1677,1651,19736.63,20557.7,24305.24,23850.16,30777.71,26281.65,65344.05,70981.32,100318.86,93999.83,73360.64,24341330,24815280,25516140,30427540,31431680,33790670,38422500,39993500,35313900,36897000,42593000,29,29,33,32,31,27,53,56,77,70,54,1245
BARRA VELHA,1,429,22913,22913,23422,24943,25662,26374,27080,27781,28463,29168,29860,3203999.75,4139443.43,4691733.14,5844084.48,6712913.07,7482035.63,8051000.07,9333635.52,12003589.35,16813445.66,13451772.59,365510600,698695600,933375700,982779000,1280955000,1297219000,1300555000,1666892000,1393275000,1831228000,1843428000,2891,3497,3712,4225,4454,4437,4347,4659,5395,7140,6447,14320
BELA VISTA DO TOLDO,1,317,6026,6026,6047,6191,6219,6248,6276,6304,6311,6337,6362,141305.42,145997.59,189498.81,206820.61,240469.59,221681.54,246290.41,243756.8,274254.75,282703.35,313135.31,98942720,95742220,109428300,145080000,137802700,135393500,149702400,139123600,149970400,153413000,175770000,167,163,189,189,198,178,163,154,177,174,185,66266
BELMONTE,0,0,2639,2639,2643,2692,2696,2700,2705,2709,2703,2706,2709,98419.72,123450.84,174342.78,211724.7,203743.65,214494.62,215926.27,237146.32,254855.53,271787.59,335443.87,27073950,31181020,32709650,43169630,46446900,46414140,49592170,53318860,51749340,53277000,61745000,109,129,164,174,179,170,151,152,156,157,180,222
BENEDITO NOVO,1,5067,10434,10434,10528,10906,11037,11168,11297,11425,11526,11652,11775,3237490.23,3353499.61,3695645.11,4356398.19,4837920.95,5262687.14,5710026.02,5618405.54,5651872.25,5835258.53,5901504.63,135840900,150174900,160781900,169745100,202898500,233129600,255623100,293990900,302394100,330162000,370109000,2915,2772,2770,2915,2932,2896,2869,2759,2638,2605,2629,384
BIGUAÇU,2,1377,58984,58984,59736,62383,63440,64488,65528,66558,67458,68481,69486,10992931.76,13459833.46,16444454.46,19437396.75,21798325.94,21389704.26,22540098.78,23753192.67,26788790.08,28847660.76,30837971.67,1001116000,1186477000,1338683000,1381738000,1558399000,1455244000,1523083000,1609731000,1864510000,2217970000,2395794000,9044,10110,11087,11791,11704,11054,10607,10678,11515,12075,13172,224
BLUMENAU,3,62296,312635,312635,316139,329082,334002,338876,343715,348513,352460,357199,361855,155644806.45,174950672.64,195470499.92,221663459.51,240573508.55,253714731.85,259474923.67,273745119.55,285691701.9,292796354.61,292943762.59,9908621000,11082983000,12101671000,13084850000,15885446000,15438661000,15405704000,16013864000,16958783000,17294179000,17783621000,111287,114234,115273,117493,117225,112772,108082,109408,110802,109849,109955,374
BOCAINA DO SUL,1,5255,3303,3303,3314,3393,3408,3424,3440,3456,3460,3474,3488,65699.99,85783.02,100389.72,125387.2,156036.15,230744.26,234082.24,274344.83,273101.13,328443.88,325975.55,46247540,53417220,44201040,55123850,58761450,64646730,70413450,68269900,77864990,86229000,96114000,99,119,128,140,155,201,186,206,191,218,216,1057
