municipios,quantidade_ucs,area_coberta,populacao_2010,populacao_2011,populacao_2012,populacao_2013,populacao_2014,populacao_2015,populacao_2016,populacao_2017,populacao_2018,populacao_2019,populacao_2020,massa_salarial_2010,massa_salarial_2011,massa_salarial_2012,massa_salarial_2013,massa_salarial_2014,massa_salarial_2015,massa_salarial_2016,massa_salarial_2017,massa_salarial_2018,massa_salarial_2019,massa_salarial_2020,pib_municipio_2010,pib_municipio_2011,pib_municipio_2012,pib_municipio_2013,pib_municipio_2014,pib_municipio_2015,pib_municipio_2016,pib_municipio_2017,pib_municipio_2018,pib_municipio_2019,pib_municipio_2020,empregados_2010,empregados_2011,empregados_2012,empregados_2013,empregados_2014,empregados_2015,empregados_2016,empregados_2017,empregados_2018,empregados_2019,empregados_2020,estabelecimentos
JARAGUÁ DO SUL,2,171,145782,145782,148353,156519,160143,163735,167300,170835,174158,177697,181173,99986992.74,110249063.79,115084801.63,138730955.55,149640094.23,155151325.99,153003717.14,161332250.98,167532694.5,175456066.18,177003618.27,5515806000,6546829000,6844962000,7782911000,7055656000,7916277000,7768568000,8523055000,8995686000,9805824000,9984243000,61532,62591,58706,64287,64156,60971,57048,57373,57713,58931,59200,396
JARDINÓPOLIS,0,0,1749,1749,1732,1721,1697,1672,1649,1625,1595,1570,1546,72769.45,79916.69,90837.65,113836.16,96049.46,77530.37,92921.71,99272.86,133160.86,136731.14,222958.95,27232380,49631690,32524650,38526250,30702760,32062240,45526820,37698680,39803110,51411000,59402000,90,97,95,114,93,67,70,66,80,82,114,259
JOAÇABA,0,0,27247,27247,27467,28398,28705,29008,29310,29608,29827,30118,30404,13602638.81,16090234.41,18751538.63,20632711.6,24361100.14,26109642.5,28203499.47,28154135.66,28297701.94,29056637.85,28355373.36,931963600,1065079000,1091513000,1156722000,1419826000,1470374000,1488682000,1577136000,1929064000,1806708000,1953779000,12903,13561,14280,14315,15407,14938,14499,13365,12973,13630,12395,269
JOINVILLE,7,46460,520905,520905,526338,546981,554601,562151,569645,577077,583144,590466,597658,246371206.38,278152956.96,306723575.69,351418386.29,384567456.55,393857847.39,403711650.36,442590309.01,472498209.11,473093418.51,471822148.84,18252540000,18675103000,20472881000,22049703000,25136137000,26552124000,25236074000,27388124000,30785682000,34528619000,36391912000,161119,168768,171200,176991,182756,174166,167699,173546,188388,188096,188843,20668
JOSÉ BOITEUX,0,0,4731,4731,4741,4837,4850,4862,4874,4887,4985,4997,5007,409677.25,500230.03,626991.52,722761.45,841796.68,856082.54,977487.43,1070593.31,1096735.65,1175259.84,1201491.11,69613540,61882700,68036790,80304570,81174900,88012000,98297210,108763900,102234400,106904000,117421000,552,615,681,694,752,709,710,742,729,755,747,4300
JUPIÁ,0,0,2143,2143,2138,2158,2150,2142,2134,2127,2110,2101,2092,69492.17,69392.03,111035.89,154356.34,170266.6,212420.82,254609.08,248438.21,226264.74,168689.42,263851.46,25787690,40971070,32214860,44110150,42958560,44649760,53191630,52780970,56788340,54054000,69669000,100,82,110,131,145,156,170,164,139,108,148,149
LACERDÓPOLIS,0,0,2201,2201,2203,2242,2244,2246,2249,2251,2245,2246,2247,260542.76,318461.25,368450.7,472261.12,531077.28,595535.73,660762.92,750687.82,844809.74,883905.38,1022305.24,77672770,93819630,98424030,109678000,80256450,82188400,88769100,93047460,92184200,105174000,138061000,285,295,328,347,396,400,400,401,410,420,477,1093
LAGES,1,234,156665,156665,156604,158961,158846,158732,158620,158508,157743,157544,157349,31928545.31,36288791.02,41049509.69,46855451.47,52894114.07,56507926.33,59820308.1,65444453.07,68436768.96,66464426.1,68801988.18,2771856000,2922302000,4083720000,3595196000,4379587000,4746496000,4749124000,5075586000,5103843000,5571758000,5880007000,30613,30934,32339,33642,34657,34483,33634,35092,35232,34866,34958,1348
LAGUNA,1,154859,51869,51869,42750,43979,44316,44650,44982,45311,45500,45814,46122,4143784.31,4835850.01,6409406.93,8714941.9,9298555.92,7614425.53,7991097.13,8301916.28,8208387.06,7287567.67,7378818.9,474495200,526835800,686312200,668180300,748635900,757677900,784301600,841741800,900499100,891933000,962895000,4698,4989,5647,6453,6404,5319,5280,5249,5052,4556,4731,782
LAJEADO GRANDE,0,0,1484,1484,1478,1488,1479,1470,1461,1453,1437,1427,1418,129709.52,142029.13,173648.74,142285.27,96741.97,149444.87,219599.35,211938.38,256384.41,281409.56,288025.07,22752250,25538830,80508950,91100260,41946640,35116120,38097990,39368980,41354510,50350000,60932000,149,150,164,128,77,132,133,117,139,124,120,218
LAURENTINO,1,2,6077,6077,6147,6402,6500,6598,6694,6790,6875,6970,7063,1493401.25,1670158.55,1955300.57,2238365.92,2852090.6,2823439.1,3175985.69,3182157.76,3384922.73,3536546.58,3721231.62,121033500,131989200,141875200,165059500,214231400,218288200,252520300,257563500,267676000,290054000,337187000,1423,1448,1532,1568,1717,1584,1661,1586,1633,1655,1693,428
LAURO MULLER,0,0,14426,14426,14483,14841,14919,14996,15073,15149,15174,15244,15313,2546494.45,2904779.9,3112025.16,3807157.9,4896897.04,5687995.25,6372375.5,6600584.2,7192371.96,7751383.69,8281401.95,172087500,207233100,219013000,237244600,263646400,278881800,324999400,355273800,373986900,386608000,412318000,2070,2255,2177,2245,2516,2593,2617,2562,2682,2864,2921,1712
LEBON RÉGIS,0,0,11850,11850,11862,12077,12091,12105,12119,12133,12099,12107,12115,953623.8,1132496.35,1225370.33,1317902.48,1444506.79,1311706.07,1795274.68,2007476.42,2110499.3,2176467.71,2174189.17,185263500,152471300,170447400,181963300,193065000,216199900,248571000,223593100,246848600,319479000,365967000,1368,1526,1431,1417,1430,1324,1424,1468,1514,1411,1368,1731
LEOBERTO LEAL,1,7,3337,3337,3309,3298,3258,3218,3179,3140,3083,3041,3000,96749.2,95459.08,149617.82,144030.77,203287.59,201642.17,207541.63,232119.47,219876.05,253461.72,278112.6,52035540,50949740,64310210,72563670,72190620,68717650,78299200,93076480,93972260,97975000,119876000,117,109,161,136,186,166,150,166,153,156,160,891
LINDÓIA DO SUL,0,0,4632,4632,4622,4674,4659,4644,4630,4615,4580,4563,4546,758277.36,943426.84,879378.16,1062136.74,1289720.86,1415652.46,1000885.76,657000.09,649787.16,703239.27,711985.44,83560030,96083500,121091900,110010700,145483200,154728400,130152500,109275400,107264400,115298000,139204000,947,1051,906,906,1070,1095,772,457,425,436,433,159
LONTRAS,0,0,10387,10387,10526,11005,11200,11393,11584,11774,11942,12130,12315,2148811.87,2407841.96,2933070.38,3556835.43,3809898.54,4057987.34,4627820.45,5469766.74,5477257.45,5862959.29,6347916.65,133035500,190931300,213552400,203323500,232101200,234860500,268475100,314283300,322170000,357625000,395109000,2100,2189,2302,2452,2443,2410,2522,2764,2663,2629,2880,6527
LUIZ ALVES,0,0,10628,10628,10811,11395,11653,11908,12162,12413,12609,12859,13107,4014299.72,4707577.41,5248291.01,5870240.12,6558658.78,7105009.08,7818891.93,8615761.13,8590558.88,9313219.01,9377106.88,326048200,322167600,353865500,406346700,479091900,482012400,538355200,575786900,581065500,495951000,593037000,3490,3663,3813,3777,3889,3882,3937,4134,3957,4075,4133,331
LUZERNA,0,0,5603,5603,5605,5698,5700,5701,5703,5705,5686,5685,5684,1423730.88,1766230.94,2083530.24,2432431.79,2861892.53,3175059.8,2981018.42,2933355.11,3301300.65,3295634.59,4136401.5,99750280,116023900,133726300,145242100,183467800,150950800,155686600,158733100,170821900,190779000,238302000,1089,1217,1275,1381,1394,1411,1275,1200,1280,1361,1506,530
MACIEIRA,0,0,1821,1821,1815,1831,1823,1815,1807,1799,1784,1775,1766,145972.46,157181.24,95608.48,168086.99,209614.7,227133.39,277324.05,257173.03,305594.84,346143.99,305721.94,32335480,30324480,34290570,45725070,41469540,41389820,56742850,43147450,48700960,53714000,54908000,183,178,105,163,180,179,208,177,217,229,206,872
MAFRA,1,5,53141,53141,53361,54708,55012,55313,55611,55907,56017,56292,56561,8915046.85,9891912.75,11622285.52,13643507.95,14900315.38,15800579.12,17037844.73,20695271.67,21458035.98,21308273.68,21559099.92,1001513000,1056708000,1194126000,1254306000,1444661000,1356313000,1447452000,1660261000,1960223000,1974377000,2106806000,8871,8920,9308,9752,9784,9591,9527,10896,10864,10310,10346,4324
MAJOR GERCINO,0,0,3290,3290,3300,3375,3389,3402,3416,3429,3430,3442,3454,267357.58,364040.42,348632.48,292776.68,443547.68,382933.05,404479.13,388868.31,406648.36,424353.02,361966.04,34688820,39827150,42499180,35019050,41893520,41576220,46315430,46447180,49334110,52370000,53895000,322,400,349,289,350,301,300,269,265,263,221,176
MAJOR VIEIRA,0,0,7523,7523,7566,7782,7841,7899,7957,8015,8048,8103,8156,317944.04,359964.65,396927.29,470316.45,521081.75,497479.05,555556.53,701839.44,822144.54,1013887.92,1081076.53,106677000,109000700,121812900,155859500,185158700,173020400,185939200,185873800,210905000,210561000,241225000,393,401,399,443,426,383,384,474,506,583,609,2307
MARACAJÁ,0,0,6471,6471,6535,6784,6873,6963,7051,7139,7207,7293,7378,1199610.52,1321711.56,1615957.25,1823486.73,2053938.58,2385127.56,2429422.57,2629119.67,2727931.88,2668325.28,3038978.04,108124000,103485600,119645000,158260500,169527900,168241300,170123600,181050700,197366300,199860000,221955000,1222,1288,1384,1374,1420,1420,1374,1382,1413,1400,1463,245
MARAVILHA,0,0,22376,22376,22642,23602,23975,24345,24712,25076,25403,25762,26116,5853211.36,7214849.62,8418537.06,9724105.15,11444347.29,11945339.05,13270900.5,14936722.51,15618551.08,16622637.17,18422928.51,627703200,739630400,769284900,862931500,882541100,863128400,960798500,1055389000,1288638000,1401082000,1612801000,6683,7206,7598,7515,7514,7387,7475,7586,7924,8499,9140,901
MAREMA,0,0,2169,2169,2136,2094,2046,1999,1952,1906,1846,1797,1750,69073.28,82819.02,89832.79,123256.95,162310.04,165958.16,170230.91,215819.81,188035.55,201311.97,174133.7,67583190,80498100,88633310,103745500,58497050,57508390,60091320,60465040,57669570,64467000,76098000,78,96,94,121,147,132,125,150,120,123,99,206
MASSARANDUBA,0,0,14837,14837,14993,15586,15806,16024,16240,16455,16704,16916,17125,5428475.17,5775021.88,6889076.22,7810043.47,8934444.95,9410426.95,9414155.81,9524936.71,9982037.23,10397842.5,10364762.63,295805600,377699100,360988200,400563000,507765800,510937300,510608700,579639800,548048300,554347000,650008000,4499,4359,4597,4596,4862,4725,4484,4334,4355,4361,4342,582
MATOS COSTA,0,0,2811,2811,2784,2767,2729,2690,2652,2614,2560,2520,2480,277199.91,288283.8,315118.33,382021.25,392676.78,402725.82,410704.01,295563.56,265171.28,248725.88,241201.89,26335400,28931780,36257260,31959410,36160550,36734370,45871050,48419200,51802760,51446000,51603000,351,281,288,310,307,294,303,231,216,194,178,1094
MELEIRO,0,0,6994,6994,6988,7085,7076,7066,7056,7047,7028,7015,7001,935600.5,1212302.05,1316814.73,1431054.77,1609156.14,1704584.68,1752087.19,1909543.65,1931348.05,1987068.05,1884385.45,129313200,119802200,143967700,146700900,194174800,203186600,226210300,242069100,239695200,267369000,272827000,894,1080,1018,1019,1047,1024,984,1020,1022,1026,981,701
MIRIM DOCE,0,0,2495,2495,2477,2476,2450,2424,2399,2374,2336,2309,2283,252576.66,284621.2,353046.75,327750.39,463991.52,485351.85,499470.96,417188.11,471258.24,640140.45,680520.65,32661480,31731400,40132560,51864650,46819900,48110500,49677190,55134490,52962450,58474000,74834000,294,294,333,298,354,322,321,256,271,349,364,810
MODELO,0,0,4054,4054,4063,4147,4158,4169,4181,4192,4200,4209,4218,600736.55,742091.61,814188.36,1129648.83,1276183.88,1151038.13,1282536.77,1227242.66,1199589.56,1336960.22,1359868.63,92868760,106845100,113810400,128214300,90761560,95556280,112413600,108067800,115056400,118948000,133991000,718,816,785,906,891,874,863,746,721,737,737,233
MONDAÍ,0,0,10347,10347,10458,10877,11034,11189,11343,11496,11592,11742,11889,1841802.24,2259446.87,2742030.67,3254008.82,3133268.17,3191804.45,3491716.49,3980960.12,4195382.07,4368723.59,4805370.76,256172000,345812800,359101000,415832800,537624800,491166700,517118700,581365900,656579600,713677000,873779000,1897,2085,2304,2377,2152,2043,2062,2197,2248,2310,2507,2446
MONTE CARLO,0,0,9347,9347,9381,9604,9650,9695,9740,9785,9824,9866,9906,1330890.22,1502819.92,1590107.95,1773911.39,1807525.19,2009535.9,2155818.58,2179010.48,2216672.86,2089261.59,2494671.61,158004100,124556100,131226700,156632400,136726800,147953000,160076400,137058800,158881400,175406000,194817000,1722,1877,1762,1765,1601,1588,1473,1464,1474,1249,1574,12967
MONTE CASTELO,0,0,8346,8346,8346,8478,8476,8475,8473,8471,8280,8275,8269,505072.9,571601.67,672181.54,767651.25,842086.44,867176.79,977527.53,1133159.02,1226977.24,1141540.29,1320716.27,121676900,130485000,140884800,152818500,178007900,174366300,164595200,158881500,176188300,174402000,201302000,674,703,694,743,736,695,698,759,789,786,850,709
MORRO DA FUMAÇA,0,0,16247,16247,16364,16888,17052,17213,17373,17532,17642,17796,17947,6140223.35,9071901.51,8393689.81,9043211.55,10509124.96,11334666.77,11386515.71,11679535.72,11691306.86,11739914.04,12407711.02,355613100,440667400,451809200,514468100,605329200,609470100,592134300,635539300,642829100,666246000,708245000,5170,5806,5882,6001,6246,5960,5604,5467,5287,5436,5315,426
MORRO GRANDE,1,7853,2888,2888,2886,2928,2925,2921,2918,2915,2898,2893,2888,1470943.5,2125493.84,2134702.41,2231304.96,3087150.02,2861978.55,2323032.6,557608.9,462553.33,538893.59,498921.36,62462790,88698780,67667170,92853200,169260000,171920900,176242800,133370600,104794300,101086000,114931000,1715,2184,1950,1778,1866,1905,1278,360,298,324,311,2008
NAVEGANTES,1,13,62187,62187,63764,68337,70565,72772,74964,77137,79285,81475,83626,13796622.73,17791884.47,25621494.21,32458174.64,38775498.23,35463308,36219049.08,38738100.49,39166190.89,41664629.63,44290043.37,1423383000,1392480000,2314770000,2711377000,3292421000,3258291000,3287283000,4108477000,3820584000,4685199000,4971219000,10565,12591,15703,17792,18936,16557,15801,16271,16513,18231,18780,1758
NOVA ERECHIM,0,0,4332,4332,4386,4577,4654,4729,4804,4879,4945,5019,5092,679196.43,808879.53,1009490.2,1118134,1367482.11,1516390.53,1653002.04,1715703.38,1780767.49,1925063.08,2185011.78,80481330,142919100,147693700,135042300,134630800,135388300,161167800,154516400,163898700,184231000,215969000,923,1027,1032,1049,1102,1174,1102,1074,1087,1140,1224,194
NOVA ITABERABA,0,0,4268,4268,4269,4338,4338,4339,4339,4339,4333,4331,4329,336255.53,396957.42,476752.89,603826.19,845502.72,816668.12,957353.76,993196.41,1039341.71,1038651.06,1081304.35,95314130,119364100,69982020,138655900,97412170,98888860,107925000,104948700,107210800,134297000,145013000,350,374,405,467,580,495,527,496,508,477,504,2818
NOVA TRENTO,6,191,12370,12370,12544,13135,13379,13621,13861,14099,14312,14549,14782,3827006.16,4600835.84,5401949.43,6731265.62,8147782.65,7879597.2,8173244.65,9094214.36,10322843.17,10867784.24,11098844.62,286074500,300700200,325477900,388389900,468000300,479663600,508093600,523649100,591684700,630774000,626292000,4066,4422,4585,5015,5221,4639,4483,4732,5093,5459,5301,2047
NOVA VENEZA,2,7856,13448,13448,13581,14098,14285,14470,14654,14837,14987,15166,15342,6684311.78,8150409.22,8094592.54,9222788,9572210.72,11687154.39,11877510.95,12640520.84,13392272.54,13651787.42,14597053,361663700,435542000,449246100,471296500,632706300,640970600,728262300,716228900,725540100,761312000,810190000,6047,6557,5742,7755,5789,6406,6022,6402,6177,6220,6465,138
NOVO HORIZONTE,0,0,2724,2724,2697,2681,2643,2606,2569,2532,2481,2442,2404,71194.25,233169.81,96235.07,121768.08,141976.66,501223.48,218971.11,592783.42,264953.67,633108.35,723142.41,45609560,55402410,55378160,68808230,76126250,75372190,86601340,81118720,91411330,90215000,114276000,85,221,90,111,117,312,141,308,161,325,342,740
ORLEANS,2,51002,21498,21498,21599,22171,22311,22449,22587,22723,22785,22912,23038,5783144.01,6967083.69,8483363.97,10116899.23,10890527.22,10861609.92,10658786.72,11728433.93,11478297.16,12818081.03,13477904.93,570471700,671187700,742140900,863828700,835088700,833869100,845354000,972736100,907251800,906562000,977865000,5330,5578,5972,6304,6173,5788,5521,5641,5570,6208,6242,125
OTACÍLIO COSTA,0,0,16517,16517,16691,17349,17593,17835,18075,18313,18510,18744,18975,6123142.15,7284709.87,8961632.04,8209691.22,8678522.02,9567843.62,9995423.3,9754841.27,10407054.65,11322044.11,11588280.29,468841900,490915400,528923600,540927800,554071300,621609900,643086800,695720200,755962700,771457000,854180000,3501,3749,4270,4294,4310,4329,4212,3937,4010,4204,4251,140
OURO,0,0,7360,7360,7348,7436,7418,7399,7381,7363,7317,7295,7272,590252.52,683247.29,759506.72,849444.55,1032325.26,1129972.45,1119139.43,1245009.48,1286004.58,1520579.63,1592675.08,86414180,97325160,100525600,119382300,135537200,139204400,149795600,159748900,166184300,195951000,216569000,685,708,726,734,766,749,691,726,734,839,845,36556
OURO VERDE,0,0,2265,2265,2259,2281,2272,2263,2254,2245,2227,2217,2207,102501.8,136149.01,119897.91,163284.01,194849.11,229416.95,244203.94,227822.62,246381.88,258132.3,279221.13,45047460,62228380,65355960,84813240,69211880,68587130,87366540,86255150,87127700,93752000,118065000,101,123,96,115,122,133,134,116,122,112,125,781
PAIAL,1,6,1741,1741,1720,1698,1668,1637,1607,1577,1537,1505,1474,42587.63,41881.61,57419.91,74972.04,63888.65,77106.38,102225.09,124866.98,163198.37,192848.52,266081.19,22301720,67636600,71284330,74154910,30107670,31551250,36124940,38921210,41073830,41043000,47599000,51,45,55,60,53,50,60,68,83,92,114,246
PAINEL,1,5255,2352,2352,2351,2385,2383,2381,2378,2376,2363,2359,2356,72364.79,76534.1,62166.81,198336.56,229824.97,216705.55,337051.33,310190.18,309079.38,276523.24,392442.42,44087770,32746420,34749310,40403360,40869820,44323470,58010900,57572680,47342200,59911000,66513000,108,109,94,208,231,193,276,247,204,168,262,1807
PALHOÇA,4,244108,139990,139990,142558,150623,154244,157833,161395,164926,168259,171797,175272,27449838.85,33962299.51,40323091.35,46482953.08,54460851.1,58697717.22,62639093.55,67394914.68,76264853.26,78630922.28,82777729.8,2685689000,3133473000,3846978000,3990380000,4694889000,5104686000,4375512000,4834031000,5489676000,5985390000,6530836000,26622,28726,30927,32041,33701,32763,31762,32329,35785,37545,40187,1954
PALMA SOLA,0,0,7732,7732,7699,7747,7699,7652,7604,7558,7475,7423,7372,1113828.61,1281976.69,1395497.24,1703763.21,1781550.77,1982210.95,2139216.99,2066598.22,2343048.72,2454303.52,2650325.45,131638800,165264200,205832400,234034700,187566900,174701600,219710500,201937300,224912900,210067000,250727000,1130,1203,1179,1308,1241,1287,1239,1207,1363,1346,1376,282
PALMEIRA,0,0,33757,36269,2410,2488,2512,2537,2562,2586,2603,34859,34976,520366.03,593517.43,676823.66,834910.79,982275.73,1106875.22,972784.18,1086589.85,1024912.24,1067055.37,1242278.35,54260290,71027390,77561430,83684660,72130760,95126390,101942500,106429500,102077500,110986000,127899000,313,328,352,400,417,410,412,438,405,419,484,1632
PALMITOS,0,0,16019,16019,16018,16270,16266,16262,16257,16253,16182,16169,16157,2252039.8,2574138.95,3232892.2,3887351.13,4205853.62,4763781.92,6173724.22,6412772.93,7437999.35,7734135.41,8350862.54,324931000,420119400,482453400,547051500,511738600,501812000,543968100,575111600,621045500,691110000,762021000,2161,2289,2476,2705,2687,2718,3039,3245,3390,3657,3832,288
PAPANDUVA,0,0,18013,18013,18096,18568,18681,18793,18905,19015,19218,19320,19422,1745207.03,2058251.05,2577274.63,3675712.8,4055254.77,4380870.68,4636095.75,5172431.27,5577748.58,5246911.63,6113940.05,376154000,375731400,431413300,827141900,451506200,444032500,485294400,543671800,599304600,608301000,726454000,2120,2238,2376,2719,3021,2955,2970,3127,3124,2892,3278,1293
PARAÍSO,0,0,4026,4026,3972,3915,3838,3763,3688,3613,3515,3437,3360,121454.35,183156.43,377721.49,493363.62,363803.24,592622.2,717862.26,730654.56,831536.78,872362.23,940839.55,74686780,85848750,107728600,128955100,80657950,78747720,91895100,88844590,101002700,114062000,135596000,144,181,349,405,250,433,440,427,463,471,463,381
PASSO DE TORRES,0,0,6798,6798,6964,7447,7681,7912,8142,8370,8594,8823,9048,364836.47,400152.12,561271.07,664153.76,795259.38,947952.72,1108714.14,1271374.38,1303987.11,1325451.87,1451236.08,60171640,57442530,61715630,75292480,93660370,126099900,123272300,140034000,164527100,176771000,201419000,396,423,493,523,563,619,659,735,754,788,853,6195
PASSOS MAIA,1,12809,4400,4400,4374,4387,4351,4314,4279,4243,4186,4147,4109,376472.42,475196.13,545753.8,621511.33,793564.4,872218.25,954284.52,1001976.94,1128444.84,1166406.68,1187629.23,98126340,76164800,80698900,98778540,98577400,107379800,123801000,136167000,138416700,133265000,145979000,468,539,569,586,656,687,657,655,686,666,622,391
PAULO LOPES,6,244407,6751,6751,6808,7045,7124,7203,7282,7360,7418,7494,7569,1375521.47,1523020.74,1616974.55,1979181.06,2275203.47,2328851.45,2430322.04,2566048.6,2532009.58,2628638.03,2685109.44,130616200,140022600,158650100,175388300,196747700,166876600,173173000,181154500,190304200,200456000,227628000,1212,1225,1215,1367,1440,1403,1323,1317,1288,1265,1292,721
PEDRAS GRANDES,0,0,4093,4093,4078,4110,4089,4068,4047,4026,4000,3976,3953,556625.53,761176.86,803617.96,756714.72,886208.35,968323.91,1369596.81,1462602.81,1573563.07,1556939.23,2023352.07,71907680,85235520,68087570,85093020,106380700,111493400,133547100,138811100,132720800,144921000,215609000,598,726,644,614,636,648,841,829,864,833,1063,515
PENHA,0,0,25714,25714,26268,27936,28718,29493,30262,31025,31764,32531,33284,4007238.85,4730747.14,5775487.57,7203429.6,7665182.02,8771090.41,9424600.23,10713916.7,11458102.58,11891492.55,11781825.65,278810300,334466600,386263400,452573600,521145300,593902500,625840900,673740600,743895500,819067000,912953000,3841,3990,4339,4844,4764,5021,4917,5301,5553,5777,6031,3844
PERITIBA,0,0,2970,2970,2952,2958,2931,2906,2880,2855,2814,2787,2760,271420.35,300872.74,327165.12,414101.49,475596.21,565204.97,632408.72,624180.92,710976.61,735584.95,776855.42,46449910,49054040,50816530,60576930,73455380,71839180,80987420,83670260,85035430,93906000,105796000,313,309,328,343,364,382,383,360,400,387,406,391
PESCARIA BRAVA,0,0,9416,9416,9416,9687,9761,9835,9908,9980,10022,10091,10159,92471.37,92471.37,92471.37,92471.37,278365.71,408011.31,345999.73,344687.5,492465.34,547636.03,638634.14,44993180,44993180,44993180,44993180,65824450,80053080,82656820,92402710,100328700,96819000,107685000,75,75,75,75,222,300,217,211,289,332,359,947
PETROLÂNDIA,0,0,6110,6110,6090,6140,6110,6080,6051,6021,5971,5937,5905,561317.5,581790.93,667184.83,778538.81,876316.3,989472.06,1122614.19,1244398.07,1203662.47,1241868.58,1383427.65,101149700,104640300,181674500,162824500,133835500,139087400,163443000,167194100,173692500,180715000,188304000,641,609,641,671,689,700,730,746,687,694,743,328
PINHALZINHO,0,0,16638,16638,16933,17868,18284,18696,19105,19511,19906,20313,20712,4452839.32,5290160.94,6482856.09,7856195.03,9321648.01,10596430.03,11322607.42,12277613.16,13196998.04,14021161.32,16252117.32,546579000,702058000,713808600,848487000,876975100,852944800,941667300,1019819000,1122662000,1142191000,1346174000,4508,4984,5154,5538,6039,6104,5915,5953,6078,6467,7078,5060
PINHEIRO PRETO,0,0,3180,3180,3190,3310,3353,3396,3438,3480,3513,3555,3596,630847.92,902391.8,1049139.42,1165159.58,1401912.21,1610766.11,1886708.57,2181466.16,2522060.14,2643171.08,3100208.97,77811040,85191100,85761680,97048870,129647800,135817000,149760600,165771600,161558700,185387000,229679000,720,887,916,904,931,965,1031,1115,1232,1229,1426,320
PIRATUBA,0,0,4708,4708,4632,4533,4424,4316,4209,4102,3965,3854,3745,977662.47,1125406.44,1348154.78,1550229.22,1794071.3,1911673.44,2005880.13,2156665.27,2208122.27,2355546.24,1787754.79,528933000,605428800,344033300,474688800,512852000,718590900,761258700,653928000,615049900,744193000,744967000,1056,1113,1164,1269,1296,1270,1214,1228,1213,1261,1028,393
PLANALTO ALEGRE,0,0,2670,2670,2685,2761,2782,2803,2823,2844,2850,2870,2888,183819.15,232662.89,257000.08,299709.63,329545.77,399758.79,488001.78,685004.31,714618.43,756190.82,800637.63,67546930,87083840,94956810,105150200,55732080,56450360,54973730,88616350,94867180,110961000,115407000,209,244,250,257,261,304,327,397,411,430,430,1299
POMERODE,0,0,28192,28192,28610,30009,30598,31181,31760,32334,32874,33447,34010,17939005.48,20337829.2,22925578.29,26147837.09,28635781.14,29714663.43,31855973.57,34006928.89,35676491.63,34730018.77,35014907.1,979887800,1191074000,1269274000,1460079000,2149149000,1708490000,1712404000,1919219000,2026616000,2119307000,2197112000,11214,11441,11823,12326,12516,12045,12008,12610,12791,12388,12092,5403
PONTE ALTA,0,0,4873,4873,4853,4885,4855,4825,4796,4767,4714,4682,4650,314948.5,378194.58,407469.34,488249.37,540292.64,532095.16,531193.01,586680.47,676251.84,784257.04,728449.77,64019980,73851310,75788910,77993570,107711200,93544470,104401800,109887900,114165200,130943000,146048000,437,432,470,494,531,493,432,432,446,486,474,3761
PONTE ALTA DO NORTE,0,0,3310,3310,3316,3381,3389,3397,3405,3413,3408,3414,3420,461805.76,564102.18,555996.85,632251.39,685061.84,808824.2,951980.59,1110955.41,1099309.7,1085414.37,1114865.97,74258700,78833360,87405410,95619900,81083470,74608880,79705740,110203600,115306000,114123000,138328000,549,584,535,588,596,592,630,668,705,680,711,2038
PONTE SERRADA,1,12809,11068,11068,11102,11358,11405,11452,11499,11545,11552,11593,11634,1332077.76,1604278.72,1817151.25,2045681.18,2262180.74,2476155.43,2643090.3,2446913.98,2418392.23,2499764.43,2501944.27,154028400,176063900,203200200,245046300,210409500,206329300,218210600,225477700,226904700,226671000,249948000,1655,1816,1832,1765,1829,1819,1764,1579,1471,1431,1471,1087
PORTO BELO,4,41,16496,16496,16896,18066,18630,19189,19744,20294,20834,21388,21932,2749579.49,3410449.3,4150475.3,5285807.52,6357329.44,6717352.63,6799298.99,8760655.34,10426179.24,10859110.15,11351733.08,567926000,604122400,666258200,735349800,831065300,878271800,884185500,945196000,1177910000,1262672000,1334187000,2959,3302,3495,3948,4259,4198,4002,4807,5544,5496,5985,178
PORTO UNIÃO,3,96,33619,33619,33740,34551,34717,34882,35045,35207,35250,35398,35543,3411621,4005169.61,4914967.77,5442215.18,6356249.52,6612707.68,7011549.29,7599444.2,8325761.96,9182822.95,9837455.31,381850600,428640000,478946800,507225100,575418300,574460700,611652400,703089800,755314100,778430000,913881000,3743,3953,4328,4439,4571,4405,4398,4464,4666,5078,5385,2369
POUSO REDONDO,0,0,15011,15011,15204,15882,16154,16424,16692,16957,17189,17453,17712,3147633.85,3843679.32,4624173.03,5486094.33,6553561.34,7043557.62,7592911.12,8083524.53,8364500.63,9176232.1,9543992.27,235415000,258642900,291830900,404286500,483464600,435330700,490796100,520724300,483992200,552798000,643935000,3225,3286,3505,3682,4006,3888,3861,3993,3952,4161,4301,185
PRAIA GRANDE,0,0,7266,7266,7265,7377,7374,7370,7367,7364,7326,7319,7312,882526.26,1036560.86,1227151.03,1405297.69,1551270.56,1535842.07,1571666.89,1608064.55,1721910.97,1999771.54,1969233.83,87287440,85439550,146742400,114635200,128769500,129246100,140105600,155813600,160285800,169487000,190251000,953,1038,1109,1110,1159,1036,981,978,989,1101,1079,205
