Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
TREZE TÍLIAS,1866,2057,2296,2642,2843,3110,3142,3269,3438,3620,3762
TROMBUDO CENTRAL,1742,1643,1724,1817,1791,1658,1565,1531,1604,1705,1803
TUBARÃO,28448,29957,30746,31841,32146,30021,29198,29288,28875,30469,29702
TUNÁPOLIS,328,400,415,518,558,549,537,577,591,602,628
TURVO,3284,3468,3674,3655,3946,3932,3645,3722,3917,3825,3819
UNIÃO DO OESTE,140,152,170,167,186,152,161,149,165,158,162
URUBICI,848,828,870,958,1007,992,989,1055,1043,1101,1151
URUPEMA,146,179,187,221,223,191,195,204,202,193,243
URUSSANGA,5460,5706,5991,6540,6334,5824,5490,5274,5574,5627,6268
VARGEÃO,737,770,784,872,863,818,800,871,887,944,947
VARGEM,133,145,138,149,1078,976,183,146,143,166,162
VARGEM BONITA,1385,1412,1300,1325,1418,1469,1422,1468,1500,1461,1592
VIDAL RAMOS,503,592,611,623,662,619,593,631,654,625,621
VIDEIRA,16989,16994,16792,17213,17306,17246,16590,16762,17657,18647,19463
VITOR MEIRELES,582,602,676,745,776,819,825,816,771,827,794
WITMARSUM,705,733,818,873,1022,1005,988,1014,1040,1054,1063
XANXERÊ,10389,10776,11218,11025,11636,11804,12045,11826,11703,12004,11884
XAVANTINA,261,342,275,300,327,339,317,305,278,314,189
XAXIM,7314,7737,6623,7295,8327,8363,8531,8608,9129,9381,10109
ZORTÉA,128,117,130,130,125,130,132,153,167,163,131
